time,baseVel
0,0
0.00499999988824129,0.649612545967102
0.00999999977648258,0.700666308403015
0.0149999996647239,0.633986234664917
0.0199999995529652,0.573651850223541
0.0249999985098839,0.519059360027313
0.0299999993294477,0.469662189483643
0.0350000001490116,0.424965977668762
0.0399999991059303,0.384523391723633
0.044999998062849,0.997541844844818
0.0499999970197678,1.01548433303833
0.0549999997019768,0.918844044208527
0.0599999986588955,0.831400752067566
0.0649999976158142,0.752279102802277
0.0700000002980232,0.793562471866608
0.0749999955296516,0.718041718006134
0.0799999982118607,0.649708032608032
0.0850000008940697,0.700752675533295
0.0899999961256981,0.634064376354218
0.0949999988079071,1.22333586215973
0.0999999940395355,1.21979022026062
0.104999996721745,1.42649590969086
0.109999999403954,1.40361618995667
0.114999994635582,1.91965210437775
0.119999997317791,1.84984064102173
0.125,2.32341027259827
0.129999995231628,2.53796339035034
0.134999990463257,2.40930914878845
0.140000000596046,2.8296365737915
0.144999995827675,2.99601364135742
0.149999991059303,2.8237681388855
0.155000001192093,2.66791486740112
0.159999996423721,3.06363129615784
0.16499999165535,2.88495087623596
0.170000001788139,2.72327518463135
0.174999997019768,2.57698512077332
0.179999992251396,2.65453100204468
0.185000002384186,2.8375723361969
0.189999997615814,2.6804051399231
0.194999992847443,3.07493352890015
0.199999988079071,3.54479074478149
0.204999998211861,3.32032012939453
0.209999993443489,3.11721134185791
0.214999988675117,3.47016906738281
0.219999998807907,3.90241360664368
0.224999994039536,3.7567834854126
0.229999989271164,3.39926290512085
0.234999999403954,3.5114312171936
0.239999994635582,3.2901349067688
0.24499998986721,3.62663602828979
0.25,3.39437627792358
0.254999995231628,3.50700950622559
0.259999990463257,3.6089231967926
0.264999985694885,3.37834930419922
0.269999980926514,3.37963247299194
0.275000005960464,3.82049179077148
0.280000001192093,4.21939659118652
0.284999996423721,3.93072605133057
0.28999999165535,4.20626544952393
0.294999986886978,4.24163341522217
0.299999982118607,3.95084643363953
0.305000007152557,4.01052236557007
0.310000002384186,3.74172902107239
0.314999997615814,3.49851632118225
0.319999992847443,3.1655740737915
0.324999988079071,2.97719216346741
0.329999983310699,3.01665115356445
0.334999978542328,3.16523194313049
0.340000003576279,2.97688293457031
0.344999998807907,2.80645751953125
0.349999994039536,2.5393762588501
0.354999989271164,2.41058754920959
0.359999984502792,2.29405498504639
0.364999979734421,2.3985276222229
0.370000004768372,2.28314352035522
0.375,2.38865280151367
0.379999995231628,2.27420783042908
0.384999990463257,2.05777907371521
0.389999985694885,2.51155948638916
0.394999980926514,2.38541793823242
0.399999976158142,2.80802059173584
0.405000001192093,2.9764552116394
0.409999996423721,3.12885880470276
0.41499999165535,2.9439709186554
0.419999986886978,2.66380310058594
0.424999982118607,2.41029787063599
0.429999977350235,2.18091773986816
0.435000002384186,1.97336721420288
0.439999997615814,1.78556847572327
0.444999992847443,2.26525688171387
0.449999988079071,2.16255569458008
0.454999983310699,1.95675241947174
0.459999978542328,1.77053475379944
0.465000003576279,1.60203886032104
0.469999998807907,1.44957828521729
0.474999994039536,1.31162667274475
0.479999989271164,1.18680357933044
0.484999984502792,1.07385945320129
0.489999979734421,0.97166383266449
0.494999974966049,0.879193842411041
0.5,0.795523881912231
0.504999995231628,0.719816565513611
0.509999990463257,0.651313960552216
0.514999985694885,0.589330554008484
0.519999980926514,0.533245921134949
0.524999976158142,0.482498705387115
0.529999971389771,0.436580926179886
0.534999966621399,0.395033001899719
0.539999961853027,0.357438981533051
0.545000016689301,0.323422700166702
0.550000011920929,0.292643636465073
0.555000007152557,0.26479372382164
0.560000002384186,0.23959419131279
0.564999997615814,0.216792806982994
0.569999992847443,0.196161344647408
0.574999988079071,0.177493318915367
0.579999983310699,0.160601869225502
0.584999978542328,0.145317927002907
0.589999973773956,0.131488502025604
0.594999969005585,0.118975177407265
0.599999964237213,0.107652701437473
0.604999959468842,0.0974077582359314
0.610000014305115,0.0881377756595612
0.615000009536743,0.0797500014305115
0.620000004768372,0.0721604526042938
0.625,0.0652931854128838
0.629999995231628,0.0590794533491135
0.634999990463257,0.0534570589661598
0.639999985694885,0.0483697280287743
0.644999980926514,0.0437665395438671
0.649999976158142,0.0396014228463173
0.654999971389771,0.0358326882123947
0.659999966621399,0.0324226096272469
0.664999961853027,0.0293370559811592
0.669999957084656,0.0265451483428478
0.675000011920929,0.0240189358592033
0.680000007152557,0.0217331312596798
0.685000002384186,0.0196648612618446
0.689999997615814,0.0177934225648642
0.694999992847443,0.0161000825464725
0.699999988079071,0.0145678920671344
0.704999983310699,0.0131815131753683
0.709999978542328,0.0119270738214254
0.714999973773956,0.0107920132577419
0.719999969005585,0.00976497400552034
0.724999964237213,0.00883567333221436
0.729999959468842,0.00799481198191643
0.73499995470047,0.00723397266119719
0.740000009536743,0.00654553947970271
0.745000004768372,0.005922622513026
0.75,0.00535898609086871
0.754999995231628,0.0048489891923964
0.759999990463257,0.00438752677291632
0.764999985694885,0.00396998086944222
0.769999980926514,0.00359217077493668
0.774999976158142,0.00325031578540802
0.779999971389771,0.00294099422171712
0.784999966621399,0.00266110966913402
0.789999961853027,0.00240786047652364
0.794999957084656,0.00217871251516044
0.799999952316284,0.00197137170471251
0.805000007152557,0.00178376270923764
0.810000002384186,0.00161400786601007
0.814999997615814,0.00146040809340775
0.819999992847443,0.00132142589427531
0.824999988079071,0.00119567022193223
0.829999983310699,0.00108188227750361
0.834999978542328,0.000978923169896007
0.839999973773956,0.00088576233247295
0.844999969005585,0.000801467336714268
0.849999964237213,0.000725194346159697
0.854999959468842,0.000656179967336357
